0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,2,2,1,2,6,0,3,5,2,2,4,5,12,4,10,12,8,15,15,8,15,29,33,29,62,55,115,210
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,2,1,1,6,1,4,3,4,5,5,3,9,12,12,12,27,25,55,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,0,1,2,1,0,3,2,6,3,6,4,3,8,8,6,6,18,15,18,33,36,66,126
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,2,0,1,2,0,2,2,2,4,4,2,0,4,6,8,0,8,6,11,11,20,20,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,2,0,2,2,1,1,2,2,3,3,5,5,4,6,7,6,6,12,15,15,29,30,55,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,2,1,0,2,3,3,0,3,3,6,6,11,11,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,2,0,2,3,2,4,6,4,1,7,10,8,2,14,14,20,28,40,56,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,3,0,0,0,3,3,0,5,6,3,8,9,0,6,14,19,16,36,30,70,140
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,2,0,4,3,1,5,7,0,3,10,12,13,24,25,50,105
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,0,3,1,1,2,4,2,2,4,9,7,9,7,22,20,50,105
