Coefficients of X_phi on Y_psi for B6

         |(13) (11,1,1)(11) (11,1,1) 931(11,11) 931(2,11) 931 751(11,11) 751(2,11) 751 922 91111(11) 91111 661 733(11) 733 73111(11,11) 73111(11,2) 73111 553(11) 553 55111(11) 55111 72211(11) 72211 544 53311(11,11) 53311(11,2) 53311(2,11) 53311 44311(11) 44311 53221(11,11) 53221(2,11)     53221 7111111(11)    7111111     44221 5311111(11,11) 5311111(11,2)    5311111 33331(11)     33331      52222    4411111 5221111(11)     5221111       33322 3331111(11)     3331111 3322111(11)         3322111  3222211(11)          3222211   511111111(11)            511111111     331111111(11)             331111111     322111111(11)             322111111              2222221                  222211111               31111111111(11)                            31111111111                             22111111111                                                      1111111111111
X31.11   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     1   0            0           0           0     1         0     1            0           0         1           x      x^2+1         1              0             0      x^2+1         0         1      x^2+1      x^2+1         x^2  x^4+2x^2+1       x^2+1         x^2  x^4+2x^2+1           0      x^4+2x^2+1          x^3  x^6+2x^4+2x^2+1     x^6+x^4+x^2 x^8+2x^6+3x^4+2x^2+1                 0  x^8+2x^6+3x^4+2x^2+1       x^7+x^5+x^3 2x^8+3x^6+4x^4+2x^2+1      x^6+2x^4+2x^2+1      2x^8+3x^6+4x^4+2x^2+1         x^11+x^9+2x^7+x^5+x^3 x^14+2x^12+4x^10+5x^8+5x^6+4x^4+2x^2+1  x^14+2x^12+4x^10+5x^8+5x^6+4x^4+2x^2+1           x^20+2x^18+4x^16+5x^14+7x^12+7x^10+7x^8+5x^6+4x^4+2x^2+1
X22.2    |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   1            1           0           0     1         0     1            0           1         1           0          0         1              1             0          1         0         1      x^2+2          1       x^2+1       x^2+1       x^2+1         x^2   x^4+x^2+1           0       x^4+x^2+1          x^3   x^6+2x^4+x^2+1       x^4+x^2+1            x^4+x^2+1                 0        x^6+2x^4+x^2+1       x^7+x^5+x^3   x^8+2x^6+3x^4+x^2+1   x^8+x^6+2x^4+x^2+1       2x^8+2x^6+3x^4+x^2+1         x^11+x^9+2x^7+x^5+x^3        x^12+2x^10+3x^8+3x^6+3x^4+x^2+1        2x^12+2x^10+4x^8+3x^6+3x^4+x^2+1             x^20+x^18+3x^16+3x^14+5x^12+4x^10+5x^8+3x^6+3x^4+x^2+1
X221.1   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            1           0           0     0         0     0            0           1         0           0          0         0          x^2+1             0          0         0         0      x^2+1          0      2x^2+1         x^2         x^2         x^2         x^2           0             x^2      x^5+x^3      x^6+x^4+x^2 x^6+2x^4+2x^2+1              x^4+x^2                 0               x^4+x^2     2x^7+2x^5+x^3     x^8+2x^6+2x^4+x^2          x^6+x^4+x^2          x^8+2x^6+2x^4+x^2 x^13+2x^11+3x^9+3x^7+2x^5+x^3          x^12+3x^10+3x^8+3x^6+2x^4+x^2           x^12+3x^10+3x^8+3x^6+2x^4+x^2              x^20+2x^18+3x^16+4x^14+5x^12+5x^10+4x^8+3x^6+2x^4+x^2
X211.2   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           1           0     0         1     0            0           0         0           0          0         0              0             0          x         0         0          x          x       x^3+x           x       x^3+x      2x^3+x       x^3+x           0           x^3+x x^6+2x^4+x^2        x^5+x^3+x       x^5+x^3+x            x^5+x^3+x                 0       x^7+2x^5+2x^3+x x^8+3x^6+2x^4+x^2      2x^7+3x^5+2x^3+x            x^5+x^3+x       x^9+2x^7+3x^5+2x^3+x x^12+2x^10+3x^8+3x^6+2x^4+x^2       x^13+2x^11+4x^9+4x^7+4x^5+2x^3+x       2x^13+3x^11+5x^9+4x^7+4x^5+2x^3+x           x^21+2x^19+4x^17+5x^15+7x^13+7x^11+7x^9+5x^7+4x^5+2x^3+x
X22.11   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           1     0         0     0            0           0         0           0          0         0              x             0          0         0         x          x          0           x       x^3+x           x           0       x^3+x           0           x^3+x          x^4        x^5+x^3+x       x^5+x^3+x            x^5+x^3+x                 0             x^5+x^3+x           x^6+x^4    x^9+x^7+3x^5+x^3+x            x^5+x^3+x         x^9+x^7+3x^5+x^3+x        x^12+x^10+2x^8+x^6+x^4        x^13+2x^11+3x^9+3x^7+3x^5+x^3+x         x^13+2x^11+3x^9+3x^7+3x^5+x^3+x             x^21+x^19+3x^17+3x^15+5x^13+4x^11+5x^9+3x^7+3x^5+x^3+x
X21.21   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     1         0     1            0           0         1           0          0         1              0             0      x^2+1         0     x^2+1      x^2+1      x^2+1         x^2      2x^2+1      2x^2+1         x^2  x^4+3x^2+1           0     2x^4+3x^2+1      x^5+x^3  x^6+3x^4+3x^2+1         x^4+x^2      x^6+2x^4+2x^2+1                 0  x^8+3x^6+4x^4+3x^2+1      x^7+2x^5+x^3 2x^8+5x^6+5x^4+3x^2+1 x^8+2x^6+3x^4+3x^2+1 x^10+4x^8+6x^6+5x^4+3x^2+1       x^11+2x^9+2x^7+2x^5+x^3 x^14+3x^12+5x^10+7x^8+7x^6+5x^4+3x^2+1 2x^14+5x^12+7x^10+9x^8+8x^6+5x^4+3x^2+1 x^22+3x^20+5x^18+8x^16+11x^14+12x^12+12x^10+11x^8+8x^6+5x^4+3x^2+1
X111.3   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         1     0            0           0         0           0          0         0              0             0          0         0         0          0          x           0           0           x       x^3+x           x           0               x      x^4+x^2                x               0                    0               x^6             x^5+x^3+x       x^6+x^4+x^2             x^5+x^3+x                    x              x^7+x^5+x^3+x               x^8+x^6+x^4+x^2                     x^9+x^7+2x^5+x^3+x          x^13+x^11+2x^9+2x^7+2x^5+x^3+x                   x^19+x^17+2x^15+3x^13+3x^11+3x^9+3x^7+2x^5+x^3+x
X11.31   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     1            0           0         0           0          0         1              0             0          0         0         1          0      x^2+1           0           0       x^2+1         x^2      2x^2+1         x^3          2x^2+1          x^3       x^4+2x^2+1               0                    0       x^7+x^5+x^3       x^6+2x^4+2x^2+1           x^5+x^3       x^6+3x^4+2x^2+1      x^6+2x^4+2x^2+1      2x^8+3x^6+4x^4+2x^2+1                   x^7+x^5+x^3             x^10+2x^8+3x^6+3x^4+2x^2+1  x^14+2x^12+4x^10+5x^8+5x^6+4x^4+2x^2+1           x^20+2x^18+4x^16+5x^14+7x^12+7x^10+7x^8+5x^6+4x^4+2x^2+1
X.42     |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     0            1           0         0           0          0         1              0             1          0         1         0          0          1           0           0           0           0           0       x^3+x               0            0                0               0                    0         x^5+x^3+x                     0                 0                     0          x^6+x^4+x^2               2x^6+x^4+x^2                             0                                      0                   x^10+x^8+2x^6+x^4+x^2                                   x^14+x^12+2x^10+x^8+2x^6+x^4+x^2
X222.    |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     0            0           1         0           0          0         0              1             0          0         0         0          1          0           1           0           0           0           0           0               0            0              x^4           x^4+1                    0                 0                     0               x^5                   x^4                  x^4                        x^4                  x^11+x^7+x^5                                x^8+x^4                                 x^8+x^4                                             x^16+x^12+x^10+x^8+x^4
X2.22    |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     0            0           0         1           0          0         1              0             0          1         0         1          1          1           0           1           1           0           1           0       x^4+x^2+1            0        x^4+x^2+1               0                x^4+1                 0        x^6+2x^4+x^2+1                 0        x^6+2x^4+x^2+1   x^8+x^6+2x^4+x^2+1       2x^8+2x^6+3x^4+x^2+1                             0         x^12+x^10+2x^8+2x^6+2x^4+x^2+1        2x^12+2x^10+4x^8+3x^6+3x^4+x^2+1             x^20+x^18+3x^16+3x^14+5x^12+4x^10+5x^8+3x^6+3x^4+x^2+1
X3111.   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     0            0           0         0           1          0         0              0             0          0         0         0          0          0           x           0           0           x           0           0               0          x^2                0       x^5+x^3+x                  x^3                 0                   x^3       x^6+x^4+x^2                   x^3                    0                        x^3         x^10+x^8+2x^6+x^4+x^2                        x^9+x^7+x^5+x^3                         x^9+x^7+x^5+x^3                                  x^15+x^13+2x^11+2x^9+2x^7+x^5+x^3
X3.111   |   0            0        0          0         0   0          0         0   0   0         0     0   0       0   0            0           0     0       0   0         0     0         0     0   0            0           0           0     0         0     0            0           0         0           0          1         0              0             0          1         0         0          0          1           0           1           0           0           1           0               1            0                1               0        x^6+x^4+x^2+1                 0         x^6+x^4+x^2+1                 0         x^6+x^4+x^2+1                    1              x^6+x^4+x^2+1                             0         x^12+x^10+2x^8+2x^6+2x^4+x^2+1          x^12+x^10+2x^8+2x^6+2x^4+x^2+1                   x^18+x^16+2x^14+3x^12+3x^10+3x^8+3x^6+2x^4+x^2+1
