Coefficients of X_phi on Y_psi for C5

        |(10) 82(11) 82 64(11) 64 811 55 622(11) 622 6211(11)  6211 442(11) 442 4411(11)  4411 433 4222(11)  4222 61111 3322(11)  3322 42211(11)  42211  33211 421111(11)     421111     331111      22222 222211(11)      222211         4111111         2221111      22111111(11)             22111111                  211111111                             1111111111
X.41    |   0      0  0      0  0   0  0       0   0        1     0       0   0        1     0   0        1     0     0        1     0         0      0      0      x^3+x          0      x^3+x          0      x^3+x           0               0               0       x^6+x^4+x^2                    0                          0                        x^9+x^7+x^5+x^3
X3.11   |   0      0  0      0  0   0  0       0   0        0     1       0   0        0     1   0        0     1     1        0     1         0      1      1          0  x^4+x^2+1  x^4+x^2+1          1          0   x^4+x^2+1       x^4+x^2+1       x^4+x^2+1                 0   x^8+x^6+2x^4+x^2+1         x^8+x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X11.3   |   0      0  0      0  0   0  0       0   0        0     0       1   0        1     0   0        0     0     0        0     x         0      0  x^3+x        x^3          0     2x^3+x      x^3+x        x^3       x^3+x               0       x^5+x^3+x       x^8+x^6+x^4            x^5+x^3+x              x^7+x^5+x^3+x         x^13+x^11+2x^9+2x^7+2x^5+x^3+x
X21.2   |   0      0  0      0  0   0  0       0   0        0     0       0   1        0     1   1        0     1     0        0 x^2+1         0  x^2+1 2x^2+1          0      x^2+1 x^4+2x^2+1 x^4+2x^2+1        x^4 2x^4+2x^2+1       x^4+x^2+1 x^6+3x^4+2x^2+1           x^7+x^5 x^8+2x^6+3x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1 x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1
X1.31   |   0      0  0      0  0   0  0       0   0        0     0       0   0        1     0   0        1     0     0        1     x         0      0      x      x^3+x          0    2x^3+2x          x     2x^3+x       x^3+x               0           x^3+x x^8+2x^6+2x^4+x^2            x^5+x^3+x                  x^5+x^3+x       x^13+2x^11+3x^9+3x^7+3x^5+2x^3+x
X2.21   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     1   0        0     1     0        x     1         0      1      1          0      x^2+1 x^4+2x^2+1      x^2+1    x^4+x^2  x^4+2x^2+1           x^2+1      x^4+2x^2+1       x^7+x^5+x^3 x^8+2x^6+2x^4+2x^2+1       x^8+2x^6+2x^4+2x^2+1 x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1
X22.1   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   1        0     1     0        0     1         x      1      1          0          1          1      x^2+1          0   x^4+x^2+1       x^4+x^2+1      2x^4+x^2+1                 0       x^6+2x^4+x^2+1   x^10+x^8+2x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X.32    |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        1     0     0        1     0         0      0      0          x          0          x          0      x^3+x           0               0               0       x^6+x^4+x^2                    0                          0                   x^11+x^9+x^7+x^5+x^3
X21.11  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     1     0        0     1         0      1      1          0      x^2+1      x^2+1      x^2+1          0  x^4+2x^2+1       x^4+x^2+1     2x^4+2x^2+1                 0 x^8+2x^6+3x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1 x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1
X311.   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     1        0     0         0      1      1          0          1          1          1          0           1       x^4+x^2+1       x^4+x^2+1                 0            x^4+x^2+1         x^8+x^6+2x^4+x^2+1                     x^8+x^6+2x^4+x^2+1
X1.22   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        1     0         0      0      0          0          0          x          x      x^3+x           x               0               x       x^6+x^4+x^2                x^5+x                      x^5+x         x^13+x^11+2x^9+2x^7+2x^5+x^3+x
