Coefficients of X_phi on Y_psi for C6

         |(12) (10,2)(11) (10,2) 84(11) 84 (10,1,1) 66(11) 66 822(11) 822 8211(11)  8211 642(11,11) 642(2,11) 642 6411(11)  6411 552 633 6222(11)  6222  5511 81111 444 4422(11,11) 4422(11,2) 4422(2,11)  4422 62211(11)  62211 4332(11)  4332 44211(11)  44211 621111(11)     621111  43311 441111(11)     441111       3333 42222(11)      42222 422211(11)      422211       33222 332211(11)      332211         6111111 4221111(11)         4221111         3321111  222222(11)           222222      42111111(11)             42111111              2222211              33111111      22221111(11)              22221111                  411111111                   222111111                 2211111111(11)                             2211111111                                  21111111111                                                       111111111111
X41.1    |   0          0      0      0  0        0      0  0       0   1        0     1          0         0   1        0     1   1   1        0 x^2+1     1 x^2+1   1           0          0          0 x^2+1         0 2x^2+1        0 x^2+1         0 2x^2+1          0 x^4+2x^2+1 2x^2+1          0 x^4+2x^2+1      x^2+1         0 x^4+2x^2+1          0 2x^4+2x^2+1  x^4+2x^2+1          0 2x^4+2x^2+1 x^6+2x^4+2x^2+1           0 x^6+3x^4+2x^2+1 x^6+3x^4+2x^2+1           0  x^6+2x^4+2x^2+1                 0 x^8+2x^6+3x^4+2x^2+1     2x^6+3x^4+2x^2+1  x^8+2x^6+3x^4+2x^2+1                 0  x^8+3x^6+3x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1  x^10+2x^8+4x^6+3x^4+2x^2+1                              0       x^12+2x^10+3x^8+4x^6+3x^4+2x^2+1       x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1                       x^16+2x^14+3x^12+4x^10+4x^8+4x^6+3x^4+2x^2+1
X.51     |   0          0      0      0  0        0      0  0       0   0        1     0          0         0   0        1     0   0   0        1     0     1     0   0           1          0          0     0         0      0        1     0         0      0      x^3+x          0      0      x^3+x          0          1         0          0      x^3+x           0           0      x^3+x           0               0           0               0               0       x^3+x                0       x^6+x^4+x^2                    0                    0           x^6+x^4+x^2       x^6+x^4+x^2                     0                          0                           0                x^9+x^7+x^5+x^3                                      0                                            0                                              x^12+x^10+x^8+x^6+x^4
X4.11    |   0          0      0      0  0        0      0  0       0   0        0     1          0         0   0        0     1   0   0        0     1     1     1   0           0          0          0     1         0      1        0     1         0      1          0  x^4+x^2+1      1          0  x^4+x^2+1          1         0          1          0   x^4+x^2+1           1          0   x^4+x^2+1       x^4+x^2+1           0       x^4+x^2+1       x^4+x^2+1           0        x^4+x^2+1                 0   x^8+x^6+2x^4+x^2+1            x^4+x^2+1    x^8+x^6+2x^4+x^2+1                 0    x^8+x^6+2x^4+x^2+1         x^8+x^6+2x^4+x^2+1          x^8+x^6+2x^4+x^2+1                              0         x^12+x^10+2x^8+2x^6+2x^4+x^2+1               x^12+x^10+2x^8+2x^6+2x^4+x^2+1                         x^16+x^14+2x^12+2x^10+3x^8+2x^6+2x^4+x^2+1
X33.     |   0          0      0      0  0        0      0  0       0   0        0     0          1         0   0        0     0   0   1        0     0     0     0   0           0          0          0     0         x      0        0   x^2         0      0          0          0    x^2          0          0        x^2         0        x^2          0         x^2         x^2          0         x^2             x^2         x^5             x^2             x^2           0              x^2                 0                  x^2              x^6+x^2                   x^2                 0               x^6+x^2                x^8+x^6+x^2                 x^8+x^6+x^2                              0                            x^8+x^6+x^2                        x^14+x^10+x^8+x^6+x^2                                              x^14+x^10+x^8+x^6+x^2
X11.4    |   0          0      0      0  0        0      0  0       0   0        0     0          0         1   0        1     0   1   0        0     0     1     0   0           0          0          x     0         0      0        0     0     x^3+x      0        x^3          0      0     2x^3+x          0        x^2         0          0        x^3           0     x^4+x^2        x^3     x^4+x^2               0           0               0     x^6+x^4+x^2         x^3          x^4+x^2       x^8+x^6+x^4                    0          x^6+x^4+x^2     x^8+2x^6+2x^4+x^2       x^8+x^6+x^4           x^6+x^4+x^2                          0             x^8+x^6+x^4+x^2         x^13+x^11+2x^9+x^7+x^5                        x^8+x^6+x^4+x^2                         x^10+x^8+x^6+x^4+x^2                      x^18+x^16+2x^14+2x^12+3x^10+2x^8+2x^6+x^4+x^2
X31.2    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   1        0     1   1   1        0     1     1     0   1           0          0          0 x^2+1         0  x^2+1        0 x^2+1         0 2x^2+1          0      x^2+1 2x^2+1          0 x^4+2x^2+1  x^4+x^2+1         0 x^4+2x^2+1          0 2x^4+2x^2+1 2x^4+2x^2+1        x^5 3x^4+2x^2+1       x^4+x^2+1           0 x^6+3x^4+2x^2+1 x^6+4x^4+2x^2+1         x^5 2x^6+3x^4+2x^2+1                 0 x^8+2x^6+3x^4+2x^2+1 x^8+3x^6+4x^4+2x^2+1 2x^8+3x^6+4x^4+2x^2+1           x^8+x^6 3x^8+4x^6+4x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1 2x^10+4x^8+5x^6+4x^4+2x^2+1                   x^11+x^9+x^7 x^14+2x^12+4x^10+5x^8+5x^6+4x^4+2x^2+1 x^16+2x^14+4x^12+5x^10+6x^8+5x^6+4x^4+2x^2+1           x^20+2x^18+4x^16+5x^14+7x^12+7x^10+7x^8+5x^6+4x^4+2x^2+1
X1.41    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        1     0   0   0        1     0     1     0   0           1          0          x     0         0      0        1     0         x      0      x^3+x          0      0    2x^3+2x          0      x^2+1         0          0     2x^3+x           0         x^2     2x^3+x     x^4+x^2               0           0               0         x^4+x^2  x^5+2x^3+x          x^4+x^2 x^8+2x^6+2x^4+x^2                    0              x^4+x^2    x^8+3x^6+3x^4+2x^2 x^8+3x^6+2x^4+x^2           x^6+x^4+x^2                          0                 x^6+x^4+x^2  x^13+2x^11+3x^9+3x^7+2x^5+x^3                        x^8+x^6+x^4+x^2                              x^8+x^6+x^4+x^2                    x^18+2x^16+3x^14+4x^12+4x^10+4x^8+3x^6+2x^4+x^2
X3.21    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     1   0   0        0     1     1     0   0           0          x          0     1         0      1        0     1         0      1          0      x^2+1      1          0 x^4+2x^2+1      x^2+1         0      x^2+1          0  x^4+2x^2+1       x^2+1    x^5+x^3  x^4+2x^2+1           x^2+1           0      x^4+2x^2+1      x^4+2x^2+1     x^5+x^3  x^6+2x^4+2x^2+1                 0 x^8+2x^6+2x^4+2x^2+1      x^6+2x^4+2x^2+1 2x^8+3x^6+3x^4+2x^2+1       x^8+x^6+x^4 2x^8+3x^6+3x^4+2x^2+1       x^8+2x^6+2x^4+2x^2+1       2x^8+3x^6+3x^4+2x^2+1               x^11+x^9+x^7+x^5 x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1       x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1           x^20+2x^18+3x^16+5x^14+6x^12+6x^10+6x^8+5x^6+3x^4+2x^2+1
X21.3    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   1   0        0     0     1     0   1           0          0          x     1         0      0        0     1         x  x^2+1          0          0  x^2+1      x^3+x      x^2+1      x^2+1         0      x^2+1        x^3       x^2+1  x^4+2x^2+1        x^3 2x^4+2x^2+1               0           0       x^4+x^2+1 x^6+3x^4+2x^2+1     x^5+x^3  x^6+2x^4+2x^2+1           x^6+x^4            x^4+x^2+1     2x^6+3x^4+2x^2+1  x^8+3x^6+4x^4+2x^2+1      x^8+2x^6+x^4  x^8+3x^6+3x^4+2x^2+1              x^6+x^4+x^2+1  x^10+2x^8+4x^6+3x^4+2x^2+1       x^13+2x^11+2x^9+2x^7+x^5       x^12+2x^10+3x^8+4x^6+3x^4+2x^2+1       x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1           x^20+2x^18+3x^16+5x^14+6x^12+6x^10+6x^8+5x^6+3x^4+2x^2+1
X32.1    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   1        0     1     0     0   1           0          0          0     1         x      1        0 x^2+1         0      1          0          1 2x^2+1          0          1      x^2+1       x^2     2x^2+1          0  x^4+2x^2+1      2x^2+1          0  x^4+2x^2+1       x^4+x^2+1     x^5+x^3     2x^4+2x^2+1     2x^4+2x^2+1           0  x^6+2x^4+2x^2+1                 0      x^6+2x^4+2x^2+1     2x^6+3x^4+2x^2+1       x^6+2x^4+2x^2+1                 0  x^8+3x^6+3x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1  x^10+3x^8+4x^6+3x^4+2x^2+1                              0       x^12+2x^10+4x^8+4x^6+3x^4+2x^2+1 x^16+2x^14+3x^12+4x^10+5x^8+4x^6+3x^4+2x^2+1                 x^18+2x^16+3x^14+4x^12+5x^10+5x^8+4x^6+3x^4+2x^2+1
